WKT,name
"POLYGON ((67.7504482 33.636093, 68.6513271 33.7275135, 69.6620693 33.9829731, 70.1674404 34.2013293, 70.9145107 34.7628012, 71.5297451 35.4100712, 71.9252529 35.9277347, 71.727499 36.5127033, 70.9804287 36.7067191, 70.2113857 36.6538541, 69.8378506 36.3359022, 69.2445888 35.9455252, 68.7611904 35.5174493, 68.1239834 34.9250999, 67.6625576 34.4191214, 67.508749 34.001191, 67.7504482 33.636093))",Kamboja
"LINESTRING (75.512428 33.738614, 75.3360963 34.2793329, 74.0771625 34.7160133, 73.205221 35.0029834, 72.3482874 35.0749449, 71.6671351 35.0569605, 71.2496546 34.9489707, 70.9859827 34.6241477, 71.5133265 34.0435363, 72.1725062 33.6054493, 72.7657679 33.4039108, 73.5768119 33.3481568, 74.361628 33.3143908, 75.512428 33.738614)",Gandhara
"POINT (72.8397317 33.7462826)",Taksasila
"POINT (71.737781 34.168265)",Pushkalavati
"POLYGON ((75.9901619 29.1731086, 76.1818638 28.7022346, 76.5517131 28.5324253, 76.8963825 28.4475157, 77.3516734 28.5052432, 77.56665 28.616417, 78.0560701 29.0135026, 77.975376 29.664647, 77.770878 30.041306, 77.548054 30.2794174, 77.314351 30.322032, 77.0303784 30.3730056, 76.60252 30.250182, 76.265438 30.102437, 76.1651329 30.0003613, 76.079642 29.841162, 75.924659 29.735435, 75.9184074 29.4045365, 75.9901619 29.1731086))",Kuru
"POINT (77.9938497 29.1568812)",Hastinapur
"POINT (77.2321071 28.6562814)",indraprastha
"POINT (77.673673 27.4924134)",Mathura
"POLYGON ((79.824492 26.1013736, 78.0852364 27.0780491, 77.73795 27.241763, 77.6787422 27.3662483, 77.6238106 27.6828892, 77.4974678 27.7266598, 77.31107 27.707619, 77.1898506 27.5806896, 77.1459053 27.4735211, 77.149761 27.313431, 77.1843575 27.2002584, 77.4095772 27.0927213, 78.0412911 26.597706, 78.5796211 26.3321603, 79.0102209 26.08368, 79.2607735 26.0561347, 79.612336 26.0363936, 79.824492 26.1013736))",Surasena
"POINT (76.1793951 27.4315897)",Viratnagar
"POLYGON ((74.3802713 26.422375, 74.4761961 26.2456629, 74.706909 26.1668065, 75.0694578 26.1076292, 75.4539793 26.1569457, 75.7066648 26.285071, 75.9923094 26.3343124, 76.142789 26.349461, 76.553627 26.76558, 76.825077 26.999129, 76.971341 27.179065, 76.993629 27.426724, 76.978836 27.651763, 76.927777 27.919551, 76.592276 27.99531, 76.101081 28.150798, 75.8275145 28.2187699, 75.3551023 28.1994069, 75.117697 28.085791, 74.829067 27.910479, 74.652677 27.653462, 74.4981688 27.0606216, 74.4322508 26.776539, 74.3802713 26.422375))",Matsya
"POLYGON ((73.690153 21.448667, 74.3428995 21.5119426, 75.505297 21.3022363, 76.7887308 21.5630388, 77.879323 22.280535, 78.3042412 23.0174096, 78.6473692 23.1554069, 78.8371929 23.4041728, 78.8172979 23.7652837, 78.5552998 24.1163746, 78.0133567 24.5975771, 77.041816 24.678002, 76.313658 24.839975, 75.800379 24.778633, 75.454133 24.689373, 74.92509 24.142038, 74.5284107 23.8732585, 74.3658957 23.4939779, 73.884286 22.902021, 73.4861524 22.172045, 73.690153 21.448667))",Avanti
"POINT (75.2037196 22.1126373)",Mahismati
"POINT (75.7885163 23.1764665)",Ujjain
"POINT (77.8139718 23.5235719)",Vidisha
"POLYGON ((79.7496301 23.1159623, 80.0302167 23.1810807, 80.0194805 23.3728743, 80.086634 23.586219, 80.1464443 23.6950336, 80.3023466 24.0519844, 80.569086 24.288228, 80.6447007 24.6045289, 80.8747977 24.8407525, 80.767294 25.205364, 80.7309977 25.5189491, 80.5642022 25.641129, 80.3523904 25.7270492, 80.012887 25.568349, 80.030714 25.431947, 79.6452863 24.9660544, 79.5430112 24.617623, 79.394414 24.267195, 79.175341 24.124911, 79.178247 23.846463, 79.0739972 23.7450393, 79.0465314 23.4933899, 79.7496301 23.1159623))",Cedi
"POINT (79.8464804 23.1430203)",Tripuri (Tewar, MP)
"POINT (72.9958748 21.7051358)",Bharuch (Bharukukaccha)
"POLYGON ((79.165999 26.8211915, 79.551583 26.870232, 79.962198 27.1134917, 80.1078926 27.3122067, 80.2120744 27.5556362, 80.1759836 27.7712656, 80.0581436 28.135323, 79.702467 28.365425, 79.304485 28.71882, 78.8245036 29.0671865, 78.276974 29.048383, 78.0821564 28.8870797, 77.810942 28.621522, 77.675173 28.104625, 77.816049 27.813111, 78.217162 27.400714, 79.165999 26.8211915))",Panchala
"POINT (82.036461 27.5035427)",Shravasti
"POINT (82.1997954 26.7921605)",Ayodhya
"POLYGON ((80.7484463 27.3532562, 80.8271429 26.9608835, 81.2288305 26.7391154, 81.5539923 26.6478474, 82.0054149 26.5700183, 82.27916 26.454319, 82.6244055 26.7600904, 82.798722 27.074038, 82.798893 27.1901919, 82.5197716 27.2424003, 82.1929099 27.5674836, 81.7332632 27.7203554, 81.4635014 27.8205287, 81.2630219 27.8124717, 81.0563797 27.8119827, 80.9353864 27.6949874, 80.777737 27.5324026, 80.7484463 27.3532562))",Kosala
"POINT (79.3360753 27.4990689)",Kampilya
"POINT (81.4031707 25.361054)",Kaushambi
"POLYGON ((81.8964784 25.4872464, 81.6053407 25.5900928, 81.368887 25.712055, 81.2208193 25.8740086, 81.0958498 25.9913347, 80.87314 25.9748763, 80.7138383 25.8859537, 80.6753861 25.767286, 80.7239976 25.6834895, 80.9698167 25.6079712, 81.2576615 25.3857608, 81.3969102 25.3165949, 81.6971146 25.2963982, 81.9115846 25.3830713, 81.8964784 25.4872464))",Vatsa
"POLYGON ((81.8250673 25.5355828, 82.1457308 25.29619, 82.3991029 25.26142, 82.5851839 25.1843938, 82.8419893 25.1129148, 83.0102175 25.3023978, 83.0259832 25.4490777, 82.9097739 25.6354185, 82.6481619 25.7842084, 82.4235333 25.8358708, 82.289309 25.859313, 82.1248028 25.9215216, 81.8949482 25.9439061, 81.8456814 25.8924925, 81.72408 25.674209, 81.8250673 25.5355828))",Kasi
"POINT (82.9024993 25.2481315)",Varanasi
"POLYGON ((83.141464 26.494987, 83.4154212 26.2759404, 83.758744 26.2463833, 84.1655343 26.154737, 84.307328 26.317563, 84.4337475 26.6932999, 84.1947949 26.8986252, 84.050578 27.041697, 83.7273753 27.1172186, 83.322812 27.053418, 83.2283898 26.7868191, 83.141464 26.494987))",Malla
"POINT (83.8869698 26.7398787)",Kushinagar
"POLYGON ((85.3040502 25.6897286, 85.5624788 25.5591243, 86.0993603 25.5479818, 86.413605 25.754111, 86.375675 25.831071, 86.240612 26.201139, 86.0950658 26.4397645, 85.6885717 26.5577503, 85.224845 26.549758, 84.8426244 26.4692723, 84.9549115 26.1034756, 85.165025 25.8423601, 85.3040502 25.6897286))",Vrji
"POINT (85.0817825 26.0038178)",Vaishali
"POINT (85.4173739 25.0261746)",Rajgir
"POLYGON ((84.0712663 24.8954474, 84.329281 24.489284, 84.997603 24.412339, 85.512098 24.4380875, 86.1349658 24.4031383, 86.2848876 24.705636, 86.325889 25.276446, 85.9799593 25.3954778, 85.496569 25.494494, 84.8572939 25.7145054, 84.4362646 25.309082, 84.0712663 24.8954474))",Magadha
"POINT (87.1335237 25.3036394)",Campa
"POLYGON ((87.9307192 24.877672, 87.7352394 25.0596976, 87.654001 25.257694, 87.456717 25.359423, 87.1335237 25.3036394, 86.4995216 25.283854, 86.411631 25.1795036, 86.3676857 24.9655549, 86.3512062 24.716309, 86.309879 24.499057, 86.404943 24.401229, 86.5929054 24.3114711, 86.9224952 24.2614009, 87.3564552 24.2163208, 87.648069 24.231594, 87.8453468 24.3765328, 87.892393 24.563896, 87.90849 24.715593, 87.9307192 24.877672))",Anga
"LINESTRING (77.4307498 18.6641723, 77.9090573 18.1563633, 78.876117 17.82867, 79.654541 17.504407, 80.2799994 17.9939193, 80.425048 18.615579, 80.5288944 18.8722154, 79.9272345 19.0650101, 78.960037 19.564221, 77.9269365 19.7396884, 77.5639413 19.405245, 77.1605036 19.0871312, 77.4307498 18.6641723)",Asmaka
